87Rb/86Sr ,87Sr/86Sr
1.535,0.80076
2.923,0.88967
4.039,0.96382
3.943,0.9574
1.97,0.82826
2.416,0.85648
1.81,0.81663
1.563,0.80126
1.36,0.78785
