87Rb/86Sr ,87Sr/86Sr
1.32,0.7861
0.937,0.76248
1.28,0.78479
1.106,0.77195
3.683,0.94717
1.27,0.78333
0.99,0.76428
1.109,0.772
0.0342,0.71236
